variant,n_features,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_roc_auc
Full features,20,0.8825035989805636,0.02256935013908249,0.842391304347826,0.917503586800574
Reduced features,14,0.8854670041390909,0.02392833788585918,0.8369565217391305,0.9236011477761836
